invoice_number,vendor_id,vendor_name,amount,payment_date,status
INV-88219,V003,Nexus Software Corp,7200.37,2026-05-20,PAID
INV-70001,V008,Aurora Consulting Group,2553.74,2026-07-17,PAID
INV-70002,V015,Ignite Marketing LLC,2607.11,2026-07-16,PAID
INV-70003,V022,Paragon Printing Inc,2660.48,2026-07-15,PAID
INV-70004,V029,Willow Catering Group,2713.85,2026-07-14,PAID
INV-70005,V036,Drake Automotive Ltd,2767.22,2026-07-13,PAID
INV-70006,V043,Karma Textile Mills,2820.59,2026-07-12,PAID
INV-70007,V050,Ruby HR Solutions,2873.96,2026-07-11,PAID
INV-70008,V007,Titan Manufacturing LLC,2927.33,2026-07-10,PAID
INV-70009,V014,Meridian Insurance Co,2980.7,2026-07-09,PAID
INV-70010,V021,Cobalt Security Svcs,3034.07,2026-07-08,PAID
INV-70011,V028,Vertex Tech Solutions,3087.44,2026-07-07,PAID
INV-70012,V035,Cedar IT Infrastructure,3140.81,2026-07-06,PAID
INV-70013,V042,Juniper Networks Svcs,3194.18,2026-07-05,PAID
INV-70014,V049,Quartz Audio Visual,3247.55,2026-07-04,PAID
INV-70015,V006,Orion Cloud Services,3300.92,2026-07-03,PAID
INV-70016,V013,Galaxy Telecom Ltd,3354.29,2026-07-02,PAID
INV-70017,V020,Nova Research Labs,3407.66,2026-07-01,PAID
INV-70018,V027,Terra Landscaping Co,3461.03,2026-06-30,PAID
INV-70019,V034,Beacon Financial Grp,3514.4,2026-06-29,PAID
INV-70020,V041,Iris Biotech Ltd,3567.77,2026-06-28,PAID
INV-70021,V048,Pearl Event Management,3621.14,2026-06-27,PAID
INV-70022,V005,Pinnacle Freight Co,3674.51,2026-06-26,PAID
INV-70023,V012,Crestline Supplies Co,3727.88,2026-06-25,PAID
INV-70024,V019,Vantage Staffing Inc,3781.25,2026-06-24,PAID
INV-70025,V026,Stellar Aviation Ltd,3834.62,2026-06-23,PAID
INV-70026,V033,Atlas Catering Services,3887.99,2026-06-22,PAID
INV-70027,V040,Harbor Marine Services,3941.36,2026-06-21,PAID
INV-70028,V047,Obsidian Robotics Inc,3994.73,2026-06-20,PAID
INV-70029,V004,Globex Global Corp,4048.1,2026-06-19,PAID
INV-70030,V011,Ember Digital Agency,4101.47,2026-06-18,PAID
INV-70031,V018,Luminary Design Studio,4154.84,2026-06-17,PAID
INV-70032,V025,Solaris Energy Partners,4208.21,2026-06-16,PAID
INV-70033,V032,Zenith Pharmaceuticals,4261.58,2026-06-15,PAID
INV-70034,V039,Granite Construction Inc,4314.95,2026-06-14,PAID
INV-70035,V046,Northwind Traders Inc,4368.32,2026-06-13,PAID
INV-70036,V003,Nexus Software Corp,4421.69,2026-06-12,PAID
INV-70037,V010,Delta Mechanical Works,4475.06,2026-06-11,PAID
INV-70038,V017,Copper Peak Mining,4528.43,2026-06-10,PAID
INV-70039,V024,Redwood Timber Co,4581.8,2026-06-09,PAID
INV-70040,V031,Yellowstone Apparel Co,4635.17,2026-06-08,PAID
INV-70041,V038,Falcon Data Centers,4688.54,2026-06-07,PAID
INV-70042,V045,Maple Foods Distribution,4741.91,2026-06-06,PAID
INV-70043,V002,Vortex Energy Inc,4795.28,2026-06-05,PAID
INV-70044,V009,Summit Legal LLP,4848.65,2026-06-04,PAID
INV-70045,V016,Harbor Facilities Mgmt,4902.02,2026-06-03,PAID
INV-70046,V023,Quantum Analytics Corp,4955.39,2026-06-02,PAID
INV-70047,V030,Xcel Building Materials,5008.76,2026-06-01,PAID
INV-70048,V037,Everest Equipment Co,5062.13,2026-05-31,PAID
INV-70049,V044,Lotus Hospitality Grp,5115.5,2026-05-30,PAID
INV-70050,V001,Acme Logistics Ltd,5168.87,2026-05-29,PAID
INV-70051,V008,Aurora Consulting Group,5222.24,2026-05-28,PAID
INV-70052,V015,Ignite Marketing LLC,5275.61,2026-05-27,PAID
INV-70053,V022,Paragon Printing Inc,5328.98,2026-05-26,PAID
INV-70054,V029,Willow Catering Group,5382.35,2026-05-25,PAID
INV-70055,V036,Drake Automotive Ltd,5435.72,2026-05-24,PAID
INV-70056,V043,Karma Textile Mills,5489.09,2026-05-23,PAID
INV-70057,V050,Ruby HR Solutions,5542.46,2026-05-22,PAID
INV-70058,V007,Titan Manufacturing LLC,5595.83,2026-05-21,PAID
INV-70059,V014,Meridian Insurance Co,5649.2,2026-05-20,PAID
INV-70060,V021,Cobalt Security Svcs,5702.57,2026-05-19,PAID
INV-70061,V028,Vertex Tech Solutions,5755.94,2026-05-18,PAID
INV-70062,V035,Cedar IT Infrastructure,5809.31,2026-05-17,PAID
INV-70063,V042,Juniper Networks Svcs,5862.68,2026-05-16,PAID
INV-70064,V049,Quartz Audio Visual,5916.05,2026-05-15,PAID
INV-70065,V006,Orion Cloud Services,5969.42,2026-05-14,PAID
INV-70066,V013,Galaxy Telecom Ltd,6022.79,2026-05-13,PAID
INV-70067,V020,Nova Research Labs,6076.16,2026-05-12,PAID
INV-70068,V027,Terra Landscaping Co,6129.53,2026-05-11,PAID
INV-70069,V034,Beacon Financial Grp,6182.9,2026-05-10,PAID
INV-70070,V041,Iris Biotech Ltd,6236.27,2026-05-09,PAID
INV-70071,V048,Pearl Event Management,6289.64,2026-05-08,PAID
INV-70072,V005,Pinnacle Freight Co,6343.01,2026-05-07,PAID
INV-70073,V012,Crestline Supplies Co,6396.38,2026-05-06,PAID
INV-70074,V019,Vantage Staffing Inc,6449.75,2026-05-05,PAID
INV-70075,V026,Stellar Aviation Ltd,6503.12,2026-05-04,PAID
INV-70076,V033,Atlas Catering Services,6556.49,2026-05-03,PAID
INV-70077,V040,Harbor Marine Services,6609.86,2026-05-02,PAID
INV-70078,V047,Obsidian Robotics Inc,6663.23,2026-05-01,PAID
INV-70079,V004,Globex Global Corp,6716.6,2026-04-30,PAID
INV-70080,V011,Ember Digital Agency,6769.97,2026-04-29,PAID
INV-70081,V018,Luminary Design Studio,6823.34,2026-04-28,PAID
INV-70082,V025,Solaris Energy Partners,6876.71,2026-04-27,PAID
INV-70083,V032,Zenith Pharmaceuticals,6930.08,2026-04-26,PAID
INV-70084,V039,Granite Construction Inc,6983.45,2026-04-25,PAID
INV-70085,V046,Northwind Traders Inc,7036.82,2026-04-24,PAID
INV-70086,V003,Nexus Software Corp,7090.19,2026-04-23,PAID
INV-70087,V010,Delta Mechanical Works,7143.56,2026-04-22,PAID
INV-70088,V017,Copper Peak Mining,7196.93,2026-04-21,PAID
INV-70089,V024,Redwood Timber Co,7250.3,2026-07-18,PAID
INV-70090,V031,Yellowstone Apparel Co,7303.67,2026-07-17,PAID
INV-70091,V038,Falcon Data Centers,7357.04,2026-07-16,PAID
INV-70092,V045,Maple Foods Distribution,7410.41,2026-07-15,PAID
INV-70093,V002,Vortex Energy Inc,7463.78,2026-07-14,PAID
INV-70094,V009,Summit Legal LLP,7517.15,2026-07-13,PAID
INV-70095,V016,Harbor Facilities Mgmt,7570.52,2026-07-12,PAID
INV-70096,V023,Quantum Analytics Corp,7623.89,2026-07-11,PAID
INV-70097,V030,Xcel Building Materials,7677.26,2026-07-10,PAID
INV-70098,V037,Everest Equipment Co,7730.63,2026-07-09,PAID
INV-70099,V044,Lotus Hospitality Grp,7784.0,2026-07-08,PAID
INV-70100,V001,Acme Logistics Ltd,7837.37,2026-07-07,PAID
INV-70101,V008,Aurora Consulting Group,7890.74,2026-07-06,PAID
INV-70102,V015,Ignite Marketing LLC,7944.11,2026-07-05,PAID
INV-70103,V022,Paragon Printing Inc,7997.48,2026-07-04,PAID
INV-70104,V029,Willow Catering Group,8050.85,2026-07-03,PAID
INV-70105,V036,Drake Automotive Ltd,8104.22,2026-07-02,PAID
INV-70106,V043,Karma Textile Mills,8157.59,2026-07-01,PAID
INV-70107,V050,Ruby HR Solutions,8210.96,2026-06-30,PAID
INV-70108,V007,Titan Manufacturing LLC,8264.33,2026-06-29,PAID
INV-70109,V014,Meridian Insurance Co,8317.7,2026-06-28,PAID
INV-70110,V021,Cobalt Security Svcs,8371.07,2026-06-27,PAID
INV-70111,V028,Vertex Tech Solutions,8424.44,2026-06-26,PAID
INV-70112,V035,Cedar IT Infrastructure,8477.81,2026-06-25,PAID
INV-70113,V042,Juniper Networks Svcs,8531.18,2026-06-24,PAID
INV-70114,V049,Quartz Audio Visual,8584.55,2026-06-23,PAID
INV-70115,V006,Orion Cloud Services,8637.92,2026-06-22,PAID
INV-70116,V013,Galaxy Telecom Ltd,8691.29,2026-06-21,PAID
INV-70117,V020,Nova Research Labs,8744.66,2026-06-20,PAID
INV-70118,V027,Terra Landscaping Co,8798.03,2026-06-19,PAID
INV-70119,V034,Beacon Financial Grp,8851.4,2026-06-18,PAID
