vendor_id,vendor_name,gl_account_code,preferred_payment_method,payment_terms,is_active
V001,Acme Logistics Ltd,ACC-10011,ACH,NET30,True
V002,Vortex Energy Inc,ACC-10022,WIRE,NET45,True
V003,Nexus Software Corp,ACC-10033,CHECK,NET60,True
V004,Globex Global Corp,ACC-10044,ACH,NET30,True
V005,Pinnacle Freight Co,ACC-10055,WIRE,NET45,True
V006,Orion Cloud Services,ACC-10066,CHECK,NET60,True
V007,Titan Manufacturing LLC,ACC-10077,ACH,NET30,True
V008,Aurora Consulting Group,ACC-10088,WIRE,NET45,True
V009,Summit Legal LLP,ACC-10099,CHECK,NET60,True
V010,Delta Mechanical Works,ACC-10110,ACH,NET30,True
V011,Ember Digital Agency,ACC-10121,WIRE,NET45,True
V012,Crestline Supplies Co,ACC-10132,CHECK,NET60,True
V013,Galaxy Telecom Ltd,ACC-10143,ACH,NET30,True
V014,Meridian Insurance Co,ACC-10154,WIRE,NET45,True
V015,Ignite Marketing LLC,ACC-10165,CHECK,NET60,True
V016,Harbor Facilities Mgmt,ACC-10176,ACH,NET30,True
V017,Copper Peak Mining,ACC-10187,WIRE,NET45,True
V018,Luminary Design Studio,ACC-10198,CHECK,NET60,True
V019,Vantage Staffing Inc,ACC-10209,ACH,NET30,True
V020,Nova Research Labs,ACC-10220,WIRE,NET45,True
V021,Cobalt Security Svcs,ACC-10231,CHECK,NET60,True
V022,Paragon Printing Inc,ACC-10242,ACH,NET30,True
V023,Quantum Analytics Corp,ACC-10253,WIRE,NET45,True
V024,Redwood Timber Co,ACC-10264,CHECK,NET60,True
V025,Solaris Energy Partners,ACC-10275,ACH,NET30,True
V026,Stellar Aviation Ltd,ACC-10286,WIRE,NET45,True
V027,Terra Landscaping Co,ACC-10297,CHECK,NET60,True
V028,Vertex Tech Solutions,ACC-10308,ACH,NET30,True
V029,Willow Catering Group,ACC-10319,WIRE,NET45,True
V030,Xcel Building Materials,ACC-10330,CHECK,NET60,True
V031,Yellowstone Apparel Co,ACC-10341,ACH,NET30,True
V032,Zenith Pharmaceuticals,ACC-10352,WIRE,NET45,True
V033,Atlas Catering Services,ACC-10363,CHECK,NET60,True
V034,Beacon Financial Grp,ACC-10374,ACH,NET30,True
V035,Cedar IT Infrastructure,ACC-10385,WIRE,NET45,True
V036,Drake Automotive Ltd,ACC-10396,CHECK,NET60,True
V037,Everest Equipment Co,ACC-10407,ACH,NET30,True
V038,Falcon Data Centers,ACC-10418,WIRE,NET45,True
V039,Granite Construction Inc,ACC-10429,CHECK,NET60,True
V040,Harbor Marine Services,ACC-10440,ACH,NET30,True
V041,Iris Biotech Ltd,ACC-10451,WIRE,NET45,True
V042,Juniper Networks Svcs,ACC-10462,CHECK,NET60,True
V043,Karma Textile Mills,ACC-10473,ACH,NET30,True
V044,Lotus Hospitality Grp,ACC-10484,WIRE,NET45,True
V045,Maple Foods Distribution,ACC-10495,CHECK,NET60,True
V046,Northwind Traders Inc,ACC-10506,ACH,NET30,True
V047,Obsidian Robotics Inc,ACC-10517,WIRE,NET45,True
V048,Pearl Event Management,ACC-10528,CHECK,NET60,True
V049,Quartz Audio Visual,ACC-10539,ACH,NET30,True
V050,Ruby HR Solutions,ACC-10550,WIRE,NET45,True
